Date,Close,daychange
2024-01-16 00:00:00,145.784,-0.00412
2024-01-16 00:01:00,145.754,-0.02469
2024-01-16 00:02:00,145.734,-0.03841
2024-01-16 00:03:00,145.76,-0.02058
2024-01-16 00:04:00,145.749,-0.02812
2024-01-16 00:05:00,145.738,-0.03567
2024-01-16 00:06:00,145.69,-0.06859
2024-01-16 00:07:00,145.722,-0.04664
2024-01-16 00:08:00,145.708,-0.05625
2024-01-16 00:09:00,145.667,-0.08437
2024-01-16 00:10:00,145.663,-0.08711
2024-01-16 00:11:00,145.656,-0.09191
2024-01-16 00:12:00,145.587,-0.13924
2024-01-16 00:13:00,145.609,-0.12415
2024-01-16 00:14:00,145.602,-0.12895
2024-01-16 00:15:00,145.591,-0.1365
2024-01-16 00:16:00,145.608,-0.12484
2024-01-16 00:17:00,145.626,-0.11249
2024-01-16 00:18:00,145.609,-0.12415
2024-01-16 00:19:00,145.628,-0.11112
2024-01-16 00:20:00,145.661,-0.08848
2024-01-16 00:21:00,145.646,-0.09877
2024-01-16 00:22:00,145.614,-0.12072
2024-01-16 00:23:00,145.63,-0.10975
2024-01-16 00:24:00,145.658,-0.09054
2024-01-16 00:25:00,145.67,-0.08231
2024-01-16 00:26:00,145.692,-0.06722
2024-01-16 00:27:00,145.721,-0.04733
2024-01-16 00:28:00,145.714,-0.05213
2024-01-16 00:29:00,145.724,-0.04527
2024-01-16 00:30:00,145.714,-0.05213
2024-01-16 00:31:00,145.714,-0.05213
2024-01-16 00:32:00,145.715,-0.05144
2024-01-16 00:33:00,145.721,-0.04733
2024-01-16 00:34:00,145.702,-0.06036
2024-01-16 00:35:00,145.712,-0.0535
2024-01-16 00:36:00,145.741,-0.03361
2024-01-16 00:37:00,145.735,-0.03773
2024-01-16 00:38:00,145.758,-0.02195
2024-01-16 00:39:00,145.759,-0.02126
2024-01-16 00:40:00,145.78,-0.00686
2024-01-16 00:41:00,145.77,-0.01372
2024-01-16 00:42:00,145.761,-0.01989
2024-01-16 00:43:00,145.762,-0.01921
2024-01-16 00:44:00,145.761,-0.01989
2024-01-16 00:45:00,145.774,-0.01097
2024-01-16 00:46:00,145.773,-0.01166
2024-01-16 00:47:00,145.765,-0.01715
2024-01-16 00:48:00,145.768,-0.01509
2024-01-16 00:49:00,145.784,-0.00412
2024-01-16 00:50:00,145.832,0.02881
2024-01-16 00:51:00,145.823,0.02264
2024-01-16 00:52:00,145.843,0.03635
